Accel_X,Accel_Y,Accel_Z,Temp,Light
1.532187,0.076609,9.193123,24.472902,36.000001
1.378969,0.076609,8.924992,24.451051,36.000001
0.574570,0.881008,9.806000,24.516723,35.000000
0.995922,-0.076609,9.499561,24.494874,43.000002
0.995922,-0.536266,8.963295,24.472902,47.000003
0.766094,-0.229828,9.422951,24.472902,48.000002
1.493883,-0.229828,8.618553,24.472902,47.000003
1.149140,0.038305,9.308037,24.516723,47.000003
1.455578,-0.459656,9.193123,24.516723,43.000002
0.268133,-0.612875,9.231426,24.516723,48.000002
0.881008,-1.493883,8.541943,24.538696,50.999999
0.268133,-1.034226,8.733467,24.516723,50.000000
0.114914,-0.881008,9.078209,24.494874,45.000000
0.497961,-0.421352,8.848381,24.494874,35.000000
0.957617,-0.919312,9.193123,24.494874,33.000000
0.038305,-0.459656,9.422951,24.472902,11.000000
0.842703,-0.727789,9.422951,24.538696,4.000000
1.149140,-0.651180,8.924992,24.494874,78.000002
0.957617,-0.536266,9.461258,24.494874,54.000001
0.383047,-0.191523,9.499561,24.538696,4.000000
0.497961,0.421352,9.346344,24.429078,3.000000
0.612875,-0.344742,9.269733,24.494874,4.000000
1.264054,-0.076609,9.652779,24.516723,3.000000
0.919312,-0.881008,9.193123,24.516723,15.000000
1.685406,-0.153219,8.733467,24.560668,3.000000
1.991844,-0.957617,9.384647,24.560668,6.000000
2.106757,-1.876929,9.499561,24.516723,4.000000
1.800320,-1.991844,9.078209,24.451051,8.000000
2.757937,-1.532187,8.771770,24.516723,6.000000
2.413195,-1.685406,7.929070,24.494874,4.000000
2.489804,-1.647101,8.810078,24.516723,8.000000
3.255898,-1.417273,8.541943,24.538696,4.000000
3.255898,-1.264054,8.541943,24.516723,5.000000
3.753859,-0.766094,8.465336,24.516723,3.000000
3.830468,-0.536266,7.622631,24.538696,19.000000
4.136906,-0.919312,8.312115,24.538696,4.000000
2.987765,-0.957617,9.039906,24.516723,4.000000
2.681328,-0.842703,8.120594,24.582641,4.000000
2.949461,-0.612875,9.461258,24.538696,40.999999
2.834546,-1.225750,9.078209,24.516723,5.000000
3.447421,-0.766094,8.427029,24.538696,5.000000
3.332507,-1.072531,8.656857,24.494874,4.000000
3.217593,-0.689484,8.273811,24.516723,4.000000
2.834546,-0.421352,8.924992,24.582641,9.000000
3.370812,0.114914,8.541943,24.560668,3.000000
2.643023,-0.536266,9.116512,24.494874,3.000000
2.604718,-0.114914,9.001598,24.560668,4.000000
3.409117,-0.919312,9.078209,24.560668,5.000000
2.757937,-0.459656,7.162975,24.582641,32.000000
2.528109,-0.651180,8.043983,24.582641,4.000000
3.179289,-0.689484,8.733467,24.538696,5.000000
3.562336,-0.727789,8.810078,24.604492,5.000000
4.251820,0.000000,7.967375,24.582641,4.000000
3.140984,0.957617,8.350422,24.582641,80.000000
3.026070,0.153219,8.580250,24.626465,50.999999
3.868773,-0.574570,8.235508,24.582641,9.000000
3.255898,0.000000,8.848381,24.582641,4.000000
3.409117,0.766094,8.197201,24.582641,14.000000
3.792164,1.378969,8.465336,24.582641,83.000002
3.792164,2.145062,7.009756,24.516723,4.000000
6.588406,2.604718,6.013836,24.560668,4.000000
7.852461,3.064375,4.596561,24.648438,22.000000
7.852461,3.524031,3.217593,24.626465,22.000000
8.886684,2.451500,1.762015,24.582641,85.000000
8.886684,3.217593,-0.536266,24.582641,4.000000
8.656857,2.834546,-1.378969,24.604492,5.000000
8.771770,2.872851,-2.643023,24.582641,91.999998
8.043983,1.838625,-4.519953,24.582641,24.000001
7.201281,1.455578,-6.128750,24.560668,4.000000
7.086367,1.608797,-6.013836,24.626465,94.000006
5.515875,0.804398,-7.622631,24.626465,4.000000
4.903000,0.497961,-8.465336,24.582641,81.999998
5.362656,0.574570,-7.967375,24.604492,45.000000
4.749781,0.000000,-8.312115,24.626465,96.000004
4.290125,-0.689484,-8.043983,24.648438,93.000002
4.366734,-0.038305,-8.618553,24.626465,4.000000
4.596561,0.574570,-8.580250,24.604492,4.000000
4.366734,0.229828,-8.197201,24.582641,4.000000
4.405039,0.038305,-8.197201,24.626465,6.000000
4.405039,0.038305,-8.580250,24.626465,59.000001
4.366734,-0.383047,-8.427029,24.604492,5.000000
4.405039,0.000000,-8.465336,24.604492,4.000000
4.136906,0.076609,-8.733467,24.626465,34.000001
4.405039,0.306437,-8.771770,24.626465,4.000000
4.251820,0.804398,-8.580250,24.604492,5.000000
4.021992,0.766094,-8.771770,24.604492,6.000000
3.792164,0.536266,-8.465336,24.670289,3.000000
3.753859,0.919312,-8.810078,24.582641,24.000001
3.945382,0.804398,-8.043983,24.604492,57.000003
5.171131,-1.685406,-6.511797,24.604492,11.000000
0.881008,1.264054,-3.792164,24.604492,117.999995
0.727789,2.796242,-4.558256,24.560668,94.000006
1.953539,3.370812,-5.362656,24.604492,6.000000
3.217593,3.370812,-5.400961,24.582641,103.999996
0.919312,5.171131,-6.550100,24.582641,116.999996
0.804398,4.634867,-9.078209,24.604492,4.000000
1.723711,4.941303,-9.078209,24.670289,25.000000
4.519953,2.834546,-7.737547,24.648438,5.000000
3.102679,3.868773,-9.806000,24.670289,5.000000
2.872851,4.060297,-7.277889,24.604492,69.000001
5.860617,2.451500,-6.511797,24.604492,3.000000
7.316195,5.209436,-11.721233,24.604492,23.000000
0.076609,-0.306437,0.229828,24.604492,4.000000
9.001598,3.753859,-5.937225,24.670289,33.000000
3.945382,4.788086,-7.009756,24.626465,84.000006
4.290125,3.830468,-7.392803,24.604492,4.000000
4.558256,3.677250,-7.699242,24.604492,74.000001
4.443342,3.715554,-7.354500,24.582641,6.000000
4.481647,3.677250,-7.507717,24.648438,4.000000
4.558256,3.868773,-7.392803,24.626465,10.000000
4.519953,3.638945,-7.584328,24.560668,114.999998
4.558256,3.715554,-7.354500,24.648438,7.000000
4.558256,3.638945,-7.469414,24.604492,4.000000
4.558256,3.638945,-7.392803,24.626465,20.000000
4.405039,3.715554,-7.392803,24.604492,11.000000
4.519953,3.753859,-7.507717,24.604492,40.000000
4.519953,3.677250,-7.469414,24.626465,14.000000
4.558256,3.792164,-7.584328,24.648438,89.000006
4.519953,3.715554,-7.584328,24.714234,11.000000
4.481647,3.792164,-7.431108,24.670289,11.000000
4.405039,3.753859,-7.469414,24.582641,140.999994
4.558256,3.792164,-7.507717,24.626465,38.000000
4.366734,3.753859,-7.546022,24.626465,5.000000
4.481647,3.715554,-7.507717,24.648438,116.999996
4.558256,3.677250,-7.469414,24.604492,149.000001
4.405039,3.792164,-7.546022,24.626465,116.999996
4.634867,3.753859,-7.507717,24.670289,15.000000
4.558256,3.753859,-7.546022,24.714234,125.999999
4.405039,3.830468,-7.431108,24.736207,132.999992
4.519953,3.753859,-7.469414,24.648438,188.000002
4.366734,3.600640,-7.584328,24.648438,244.000006
4.519953,3.677250,-7.392803,24.670289,125.999999
4.443342,3.753859,-7.431108,24.626465,80.000000
4.443342,3.792164,-7.584328,24.736207,132.999992
4.405039,3.792164,-7.546022,24.670289,77.000003
4.519953,3.753859,-7.660936,24.670289,14.000000
4.405039,3.753859,-7.507717,24.648438,20.000000
4.519953,3.715554,-7.316195,24.692261,8.000000
4.519953,3.715554,-7.431108,24.670289,5.000000
4.481647,3.792164,-7.354500,24.670289,101.999998
4.596561,3.715554,-7.431108,24.670289,24.000001
4.673172,3.753859,-7.316195,24.626465,35.000000
4.634867,3.715554,-7.354500,24.648438,7.000000
4.596561,3.753859,-7.431108,24.648438,107.999992
4.519953,3.753859,-7.546022,24.714234,213.999987
4.519953,3.715554,-7.392803,24.692261,4.000000
4.519953,3.715554,-7.392803,24.692261,142.999992
4.634867,3.792164,-7.469414,24.692261,159.999990
4.519953,3.638945,-7.507717,24.648438,77.000003
4.481647,3.677250,-7.354500,24.670289,4.000000
4.558256,3.753859,-7.431108,24.802125,11.000000
4.519953,3.715554,-7.507717,24.670289,5.000000
4.443342,3.715554,-7.584328,24.692261,4.000000
4.596561,3.753859,-7.507717,24.648438,5.000000
4.634867,3.715554,-7.392803,24.648438,42.000003
4.481647,3.868773,-7.316195,24.736207,45.999999
4.558256,3.792164,-7.507717,24.758179,109.000004
4.443342,3.792164,-7.469414,24.714234,233.999991
4.519953,3.677250,-7.469414,24.692261,10.000000
4.481647,3.715554,-7.469414,24.692261,6.000000
4.443342,3.677250,-7.431108,24.714234,4.000000
4.558256,3.638945,-7.507717,24.692261,256.999993
4.366734,3.638945,-7.431108,24.780152,113.999999
4.519953,3.753859,-7.469414,24.692261,75.000000
4.481647,3.715554,-7.392803,24.692261,8.000000
4.519953,3.715554,-7.469414,24.758179,142.999992
4.481647,3.600640,-7.392803,24.692261,37.000000
4.519953,3.638945,-7.660936,24.736207,90.000000
4.481647,3.715554,-7.546022,24.670289,5.000000
4.519953,3.792164,-7.392803,24.736207,142.999992
4.596561,3.753859,-7.392803,24.714234,155.999994
4.290125,4.136906,-7.162975,24.714234,240.999985
4.864695,3.026070,-7.316195,24.758179,4.000000
4.366734,4.251820,-8.886684,24.758179,26.000001
4.941303,4.826389,-7.086367,24.714234,88.000002
9.269733,1.378969,-8.810078,24.736207,70.999999
9.614475,3.907078,-3.524031,24.692261,152.999997
9.576172,5.362656,-1.340664,24.714234,4.000000
9.882607,4.481647,5.132828,24.692261,11.000000
5.209436,3.907078,6.090445,24.692261,91.000004
2.336586,1.034226,8.810078,24.758179,3.000000
2.336586,1.493883,7.929070,24.714234,7.000000
-0.076609,2.489804,9.116512,24.670289,79.000001
-0.651180,2.451500,8.273811,24.692261,45.999999
0.727789,3.026070,10.112435,24.714234,4.000000
-1.953539,2.489804,7.431108,24.714234,5.000000
-1.110836,3.064375,7.929070,24.780152,3.000000
-1.493883,2.298281,8.656857,24.780152,4.000000
-1.493883,2.336586,9.231426,24.736207,3.000000
-1.072531,1.838625,9.882607,24.758179,40.999999
-1.110836,2.528109,9.078209,24.736207,27.000000
-0.995922,1.723711,10.265656,24.758179,8.000000
-0.842703,3.179289,9.346344,24.714234,4.000000
-0.344742,3.562336,9.844303,24.714234,22.000000
-0.421352,2.183367,9.767693,24.758179,4.000000
-0.612875,2.221671,9.806000,24.758179,65.999999
-1.110836,2.528109,8.503639,24.780152,4.000000
-1.072531,3.409117,7.392803,24.780152,42.000003
-0.459656,3.524031,9.231426,24.758179,40.000000
-0.995922,3.255898,8.388725,24.802125,6.000000
-0.114914,2.183367,9.154819,24.780152,4.000000
