Accel_X,Accel_Y,Accel_Z,Temp,Light
3.102679,6.818233,4.979609,24.516723,19.000000
3.485726,6.665014,5.554178,24.516723,19.000000
3.294203,6.741625,5.477570,24.560668,22.000000
3.102679,6.703320,5.171131,24.560668,20.000000
3.485726,6.473492,6.167053,24.582641,22.000000
3.255898,6.281967,6.435186,24.538696,26.000001
2.681328,7.431108,4.941303,24.626465,23.000000
2.336586,6.856539,5.975531,24.560668,26.000001
1.991844,6.243664,5.860617,24.538696,26.000001
1.264054,6.818233,5.669092,24.560668,25.000000
1.302359,6.703320,6.013836,24.560668,25.000000
2.298281,6.052139,5.630789,24.494874,28.000000
1.800320,5.669092,6.779928,24.538696,29.000001
2.259976,6.281967,5.822311,24.538696,29.000001
1.876929,6.665014,6.511797,24.516723,30.000000
2.030149,5.286047,7.124672,24.560668,29.000001
2.068453,5.784006,5.860617,24.538696,29.000001
2.106757,6.626711,6.090445,24.538696,32.000000
0.114914,20.263176,3.753859,24.472902,29.000001
1.034226,1.647101,2.413195,24.516723,52.000003
1.034226,-0.919312,1.762015,24.516723,60.999999
1.800320,-3.294203,3.255898,24.516723,54.000001
1.187445,-5.247742,4.136906,24.494874,67.000003
-0.344742,-7.124672,5.017914,24.472902,40.000000
-0.383047,-8.733467,3.638945,24.451051,29.000001
-1.264054,-9.308037,1.800320,24.429078,26.000001
-0.536266,-9.767693,1.187445,24.451051,16.000000
-1.264054,-9.384647,-0.919312,24.385254,10.000000
-2.106757,-7.431108,9.882607,24.385254,29.000001
-1.417273,-5.937225,7.929070,24.407227,30.000000
-1.570492,-5.286047,7.584328,24.429078,22.000000
-1.608797,-5.286047,7.546022,24.429078,26.000001
-1.608797,-5.477570,7.507717,24.451051,22.000000
-1.608797,-5.362656,7.584328,24.407227,24.000001
-1.647101,-5.400961,7.507717,24.407227,36.000001
-1.570492,-5.400961,7.584328,24.407227,29.000001
-1.608797,-5.362656,7.469414,24.429078,26.000001
-1.608797,-5.477570,7.507717,24.451051,29.000001
-1.493883,-5.324350,7.546022,24.451051,22.000000
-1.647101,-5.362656,7.622631,24.407227,21.000001
-1.685406,-5.439264,7.431108,24.407227,22.000000
-1.532187,-5.324350,7.546022,24.429078,30.000000
-1.647101,-5.362656,7.546022,24.429078,29.000001
-1.647101,-5.362656,7.507717,24.451051,26.000001
-1.723711,-5.362656,7.507717,24.494874,25.000000
-1.608797,-5.400961,7.469414,24.429078,21.000001
-1.570492,-5.400961,7.431108,24.451051,26.000001
-1.570492,-5.439264,7.584328,24.451051,31.000001
-1.723711,-5.362656,7.431108,24.472902,22.000000
-1.608797,-5.362656,7.469414,24.429078,30.000000
-1.608797,-5.324350,7.584328,24.451051,27.000000
-1.647101,-5.400961,7.737547,24.451051,22.000000
-1.647101,-5.362656,7.507717,24.472902,20.000000
-1.570492,-5.324350,7.584328,24.407227,21.000001
-1.570492,-5.324350,7.469414,24.407227,22.000000
-1.493883,-5.209436,7.431108,24.472902,23.000000
-1.685406,-5.400961,7.431108,24.472902,21.000001
