Accel_X,Accel_Y,Accel_Z,Temp,Light
0.268133,-1.876929,8.235508,24.648438,10.000000
0.114914,-1.800320,9.116512,24.648438,12.000000
0.229828,-1.570492,9.576172,24.648438,14.000000
0.076609,-1.264054,9.116512,24.670289,15.000000
0.114914,-1.532187,9.116512,24.670289,13.000001
0.076609,-1.647101,9.461258,24.648438,13.000001
0.459656,-1.264054,9.384647,24.648438,18.000001
0.038305,-1.417273,9.269733,24.648438,18.000001
0.459656,-1.110836,8.886684,24.626465,21.000001
0.459656,-1.225750,9.269733,24.626465,20.000000
-0.651180,-0.881008,9.039906,24.626465,19.000000
-0.497961,-0.842703,9.882607,24.670289,17.000000
0.114914,-1.187445,9.346344,24.670289,20.000000
0.536266,-1.340664,9.844303,24.670289,8.000000
-0.076609,-1.417273,9.576172,24.626465,7.000000
0.574570,-1.532187,9.384647,24.670289,7.000000
-0.191523,-1.532187,9.116512,24.670289,12.000000
0.344742,-1.838625,9.116512,24.648438,12.000000
0.344742,-1.417273,8.771770,24.648438,11.000000
0.459656,-1.187445,9.729389,24.626465,9.000000
-0.842703,-1.723711,9.231426,24.648438,9.000000
0.459656,-1.647101,9.193123,24.692261,7.000000
0.038305,-1.302359,9.729389,24.692261,5.000000
0.038305,-1.953539,9.001598,24.648438,10.000000
0.804398,-1.800320,9.193123,24.670289,4.000000
0.229828,-1.570492,9.078209,24.582641,4.000000
0.497961,-2.030149,9.461258,24.648438,22.000000
1.034226,-1.723711,8.618553,24.692261,4.000000
0.229828,-2.030149,9.614475,24.648438,6.000000
0.919312,-1.264054,8.848381,24.648438,4.000000
1.187445,-1.034226,9.959217,24.670289,4.000000
1.340664,-0.727789,9.384647,24.714234,13.000001
1.302359,-0.229828,9.154819,24.670289,7.000000
1.685406,-0.727789,9.078209,24.692261,35.000000
1.264054,-0.421352,9.997520,24.692261,5.000000
2.643023,-1.187445,10.648701,24.670289,5.000000
3.524031,-1.378969,8.963295,24.714234,5.000000
2.528109,-0.689484,7.086367,24.714234,5.000000
3.983687,-0.114914,8.465336,24.714234,44.000001
4.864695,-0.038305,7.507717,24.692261,12.000000
6.090445,0.421352,6.779928,24.648438,4.000000
6.090445,0.306437,6.473492,24.670289,4.000000
7.622631,-0.459656,5.745703,24.692261,5.000000
6.013836,-0.191523,7.392803,24.714234,21.000001
4.558256,-0.497961,8.312115,24.692261,40.999999
3.447421,-1.876929,9.269733,24.692261,5.000000
4.328428,-0.076609,8.771770,24.736207,25.000000
4.290125,-1.532187,9.537865,24.736207,5.000000
4.673172,-0.881008,8.924992,24.648438,5.000000
4.558256,0.153219,7.890764,24.670289,4.000000
4.864695,-1.723711,6.473492,24.736207,4.000000
5.707397,-1.685406,8.235508,24.626465,4.000000
4.864695,-0.383047,8.465336,24.626465,4.000000
3.907078,-1.800320,7.660936,24.692261,8.000000
3.945382,-0.957617,8.388725,24.736207,34.000001
4.826389,-0.957617,8.503639,24.714234,7.000000
5.017914,-0.727789,8.197201,24.736207,4.000000
4.328428,-0.727789,8.465336,24.648438,45.999999
3.983687,-0.804398,7.852461,24.648438,5.000000
4.711475,-0.383047,8.656857,24.692261,5.000000
3.868773,-0.574570,8.082287,24.736207,6.000000
3.983687,-0.766094,8.197201,24.714234,4.000000
4.213514,-0.957617,7.354500,24.714234,18.000001
4.903000,-1.570492,8.043983,24.714234,18.000001
0.076609,-0.114914,2.030149,24.714234,8.000000
2.068453,-0.153219,5.362656,24.670289,4.000000
4.941303,-1.034226,0.344742,24.714234,29.000001
1.953539,1.302359,-4.673172,24.736207,5.000000
2.796242,-1.072531,-7.124672,24.692261,11.000000
4.979609,-0.229828,-12.832069,24.670289,4.000000
-2.643023,1.034226,-16.164574,24.648438,308.999991
1.876929,-0.229828,-10.687008,24.670289,5.000000
5.094522,-1.685406,-3.753859,24.604492,157.999992
3.600640,-0.038305,-7.622631,24.692261,7.000000
3.792164,5.707397,-22.561455,24.692261,18.000001
3.447421,-1.608797,-4.060297,24.648438,308.999991
-1.340664,-0.766094,-5.784006,24.692261,111.000001
-2.528109,5.439264,-23.059418,24.670289,63.000002
1.340664,3.179289,-9.614475,24.626465,4.000000
4.634867,-0.497961,-8.810078,24.626465,40.999999
8.656857,-0.536266,1.110836,24.692261,234.999990
0.651180,0.229828,12.717155,24.670289,12.000000
0.727789,-2.987765,14.862217,24.736207,7.000000
1.723711,-0.344742,9.422951,24.670289,11.000000
0.727789,-0.114914,9.116512,24.692261,6.000000
0.459656,-0.076609,9.308037,24.648438,9.000000
0.574570,-0.114914,9.193123,24.714234,7.000000
0.497961,-0.076609,9.308037,24.670289,13.000001
0.574570,-0.114914,9.269733,24.692261,9.000000
0.459656,-0.076609,9.269733,24.692261,9.000000
0.497961,-0.114914,9.384647,24.670289,17.000000
0.459656,-0.038305,9.384647,24.736207,7.000000
0.536266,-0.191523,9.308037,24.648438,10.000000
0.574570,-0.076609,9.308037,24.626465,10.000000
0.574570,0.000000,9.384647,24.648438,19.000000
0.497961,-0.038305,9.384647,24.692261,10.000000
0.421352,-0.114914,9.269733,24.714234,12.000000
0.536266,-0.153219,9.269733,24.670289,6.000000
0.536266,-0.114914,9.384647,24.714234,10.000000
0.421352,-0.114914,9.308037,24.714234,7.000000
0.421352,-0.153219,9.384647,24.648438,10.000000
0.497961,-0.038305,9.231426,24.736207,10.000000
0.421352,-0.076609,9.346344,24.692261,6.000000
0.651180,-0.153219,9.384647,24.670289,7.000000
0.421352,-0.114914,9.231426,24.736207,8.000000
0.497961,-0.076609,9.422951,24.692261,19.000000
0.459656,-0.076609,9.461258,24.714234,8.000000
0.497961,-0.114914,9.346344,24.780152,8.000000
0.421352,-0.153219,9.346344,24.758179,6.000000
0.459656,-0.076609,9.154819,24.714234,8.000000
0.536266,-0.114914,9.308037,24.714234,6.000000
0.536266,-0.076609,9.154819,24.736207,5.000000
0.497961,-0.076609,9.308037,24.692261,5.000000
0.421352,-0.191523,9.384647,24.736207,13.000001
0.497961,-0.038305,9.154819,24.692261,18.000001
0.383047,-0.076609,9.346344,24.692261,7.000000
0.421352,-0.114914,9.269733,24.758179,7.000000
0.268133,-0.153219,9.269733,24.736207,5.000000
0.459656,-0.114914,9.231426,24.736207,6.000000
0.421352,-0.076609,9.384647,24.692261,17.000000
0.421352,-0.076609,9.231426,24.714234,14.000000
0.536266,-0.076609,9.308037,24.736207,12.000000
0.421352,-0.114914,9.269733,24.736207,9.000000
0.421352,0.000000,9.193123,24.736207,6.000000
