Accel_X,Accel_Y,Accel_Z,Temp,Light
1.378969,-0.651180,9.154819,24.275758,20.000000
1.302359,-0.536266,9.078209,24.297607,22.000000
0.689484,-0.497961,9.346344,24.341431,22.000000
0.804398,-1.378969,9.384647,24.297607,24.000001
1.187445,-1.225750,9.384647,24.297607,31.000001
1.264054,-0.995922,8.963295,24.341431,30.000000
1.072531,-0.421352,9.193123,24.319580,10.000000
1.225750,-0.766094,9.078209,24.319580,9.000000
2.183367,-1.493883,9.078209,24.275758,5.000000
2.183367,-0.766094,9.231426,24.319580,52.000003
2.528109,-0.766094,10.035828,24.297607,23.000000
1.034226,0.000000,8.733467,24.319580,21.000001
0.995922,0.191523,7.277889,24.253786,6.000000
0.344742,-1.991844,8.427029,24.297607,11.000000
3.945382,-0.612875,8.273811,24.319580,4.000000
0.612875,0.574570,7.469414,24.297607,4.000000
2.681328,1.110836,8.043983,24.341431,22.000000
3.830468,0.076609,8.541943,24.385254,5.000000
3.562336,0.536266,8.580250,24.341431,4.000000
5.132828,-0.306437,9.920914,24.275758,4.000000
4.021992,2.528109,9.537865,24.319580,2.000000
0.114914,1.991844,9.116512,24.319580,4.000000
0.995922,0.268133,7.775850,24.275758,74.000001
1.685406,0.038305,10.074131,24.319580,4.000000
3.830468,0.689484,8.158897,24.275758,4.000000
1.034226,1.264054,9.461258,24.319580,83.000002
0.612875,0.268133,9.193123,24.319580,65.999999
0.038305,-0.421352,9.269733,24.341431,4.000000
0.038305,-1.302359,8.886684,24.319580,20.000000
0.612875,-0.076609,9.193123,24.319580,42.000003
0.919312,-0.995922,8.580250,24.341431,43.000002
1.570492,0.000000,9.691086,24.363282,4.000000
1.608797,-0.344742,10.035828,24.407227,60.999999
0.000000,0.153219,8.848381,24.341431,4.000000
0.383047,-0.191523,8.541943,24.341431,5.000000
-0.268133,0.689484,9.078209,24.341431,94.000006
1.493883,0.957617,9.116512,24.319580,4.000000
0.421352,0.000000,8.924992,24.341431,12.000000
-3.026070,2.374890,9.116512,24.341431,4.000000
-2.872851,-0.268133,9.384647,24.363282,4.000000
0.306437,0.459656,9.154819,24.363282,31.000001
0.651180,0.689484,9.269733,24.341431,4.000000
1.187445,0.612875,9.652779,24.341431,11.000000
0.766094,0.536266,9.422951,24.407227,4.000000
0.497961,0.038305,9.729389,24.363282,100.999999
